Rk,Team,Overall,Home,Road,E,W,Team Points Per Game,Opponent Points Per Game
1,Houston Rockets,65-17,34-7,31-10,24-6,41-11,112.4,103.9
2,Toronto Raptors,59-23,34-7,25-16,40-12,19-11,111.7,103.9
3,Golden State Warriors,58-24,29-12,29-12,24-6,34-18,113.5,107.5
4,Boston Celtics,55-27,27-14,28-13,33-19,22-8,104.4,100.4
5,Philadelphia 76ers,52-30,30-11,22-19,34-18,18-12,109.8,105.3
6,Cleveland Cavaliers,50-32,29-12,21-20,35-17,15-15,110.9,109.9
7,Portland Trail Blazers,49-33,28-13,21-20,18-12,31-21,105.6,103
8,Indiana Pacers,48-34,27-14,21-20,32-20,16-14,105.6,104.2
9,New Orleans Pelicans,48-34,24-17,24-17,21-9,27-25,111.7,110.4
10,Oklahoma City Thunder,48-34,27-14,21-20,20-10,28-24,107.9,104.4
11,Utah Jazz,48-34,28-13,20-21,14-16,34-18,104.1,99.8
12,Minnesota Timberwolves,47-35,30-11,17-24,13-17,34-18,109.5,107.3
13,San Antonio Spurs,47-35,33-8,14-27,18-12,29-23,102.7,99.8
14,Denver Nuggets,46-36,31-10,15-26,18-12,28-24,110,108.5
15,Miami Heat,44-38,26-15,18-23,31-21,13-17,103.4,102.9
16,Milwaukee Bucks,44-38,25-16,19-22,27-25,17-13,106.5,106.8
17,Washington Wizards,43-39,23-18,20-21,28-24,15-15,106.6,106
18,Los Angeles Clippers,42-40,22-19,20-21,18-12,24-28,109,109
19,Detroit Pistons,39-43,25-16,14-27,24-28,15-15,103.8,103.9
20,Charlotte Hornets,36-46,21-20,15-26,22-30,14-16,108.2,108
21,Los Angeles Lakers,35-47,20-21,15-26,16-14,19-33,108.1,109.6
22,New York Knicks,29-53,19-22,10-31,17-35,12-18,104.5,108
23,Brooklyn Nets,28-54,15-26,13-28,19-33,9-21,106.6,110.3
24,Chicago Bulls,27-55,17-24,10-31,21-31,6-24,102.9,110
25,Sacramento Kings,27-55,14-27,13-28,13-17,14-38,98.8,105.8
26,Orlando Magic,25-57,17-24,8-33,15-37,10-20,103.4,108.2
27,Atlanta Hawks,24-58,16-25,8-33,12-40,12-18,103.4,108.8
28,Dallas Mavericks,24-58,15-26,9-32,10-20,14-38,102.3,105.4
29,Memphis Grizzlies,22-60,16-25,6-35,4-26,18-34,99.3,105.5
30,Phoenix Suns,21-61,10-31,11-30,6-24,15-37,103.3,113.3
