Player,Pos,Age,Tm,G,MP,PER
Alex Abrines,SG,25,OKC,17,344,5.7
Jaylen Adams,PG,22,ATL,4,13,7.5
Steven Adams,C,25,OKC,19,649,20.4
Bam Adebayo,C,21,MIA,20,374,18.1
DeVaughn Akoon-Purcell,SG,25,DEN,6,21,11.6
LaMarcus Aldridge,C,33,SAS,21,725,17.1
Grayson Allen,SG,23,UTA,14,147,4.4
Jarrett Allen,C,20,BRK,20,550,21
Al-Farouq Aminu,PF,28,POR,21,616,10.2
Justin Anderson,SG,25,ATL,5,53,14.5
Kyle Anderson,SF,25,MEM,20,608,10.5
Ryan Anderson,PF,30,PHO,12,245,5.6
Ike Anigbogu,C,20,IND,3,6,-5.9
Giannis Antetokounmpo,PF,24,MIL,20,675,29
Carmelo Anthony,PF,34,HOU,10,294,11.5
OG Anunoby,SF,21,TOR,17,365,9.8
Ryan Arcidiacono,PG,24,CHI,21,603,12.5
Trevor Ariza,SF,33,PHO,19,659,9.7
D.J. Augustin,PG,31,ORL,22,597,15.5
Deandre Ayton,C,20,PHO,21,674,20.4
Dwayne Bacon,SG,23,CHO,13,180,12.3
Marvin Bagley,PF,19,SAC,21,507,17.5
Ron Baker,SG,25,NYK,10,98,1.8
Wade Baldwin,PG,22,POR,8,45,-5.6
Lonzo Ball,PG,21,LAL,21,566,11.1
Mohamed Bamba,C,20,ORL,22,376,16.9
J.J. Barea,PG,34,DAL,18,356,19.1
Harrison Barnes,SF,26,DAL,15,472,13.1
Will Barton,SG,28,DEN,2,54,22.7
Keita Bates-Diop,SF,23,MIN,2,18,-1
Nicolas Batum,SF,30,CHO,21,649,12.2
Aron Baynes,C,32,BOS,18,264,16
Kent Bazemore,SG,29,ATL,22,577,14.6
Bradley Beal,SG,25,WAS,21,744,18.1
Malik Beasley,SG,22,DEN,21,382,11
Michael Beasley,PF,30,LAL,6,41,10
Marco Belinelli,SG,32,SAS,21,468,10.7
Jordan Bell,C,24,GSW,22,263,14.2
DeAndre' Bembry,SG,24,ATL,22,510,10.4
Dragan Bender,PF,21,PHO,6,26,-3.4
Davis Bertans,PF,26,SAS,19,308,14.5
Patrick Beverley,PG,30,LAC,21,522,9
Khem Birch,C,26,ORL,7,40,14
Bismack Biyombo,C,26,CHO,8,68,11.3
Nemanja Bjelica,PF,30,SAC,21,510,17.3
Antonio Blakeney,SG,22,CHI,21,384,11.8
Eric Bledsoe,PG,29,MIL,21,618,19.4
Bogdan Bogdanovic,SG,26,SAC,10,259,15.5
Bojan Bogdanovic,SF,29,IND,22,679,15.3
